muni_id,muni_name_first,precip_mean_mean,precip_mean_std,precip_min_mean,precip_max_mean,precip_std_mean,precip_anomaly_mean_mean,precip_anomaly_mean_std,precip_anomaly_min_mean,precip_anomaly_max_mean,precip_anomaly_std_mean,soil_mean_mean,soil_mean_std,soil_min_mean,soil_max_mean,soil_std_mean,soil_anomaly_mean_mean,soil_anomaly_mean_std,soil_anomaly_min_mean,soil_anomaly_max_mean,soil_anomaly_std_mean,mean_distance_to_others_first,min_distance_to_others_first,max_distance_to_others_first,centroid_lon,centroid_lat,cluster,cluster_pca,cluster_spatial,cluster_hierarchical,cluster_gmm,cluster_dbscan,cluster_agglom_spatial,muni_norm,cluster_aligned
271,Nova Alvorada,5.193739,11.584953,4.2961507,6.1960645,0.7162977,-3.979994e-09,11.392949,-1.1854069,1.2752302,0.9031238,,,,,,,,,,,1.5855236720558072,0.0719068305303884,5.361806923760108,-52.171417027384045,-28.708009064279835,1,3,4,0,7,0,7,nova alvorada,7
272,Nova Araçá,5.197336,11.492113,4.6008673,5.832584,0.5454312,-2.2546242e-08,11.300582,-0.8013421,0.82468325,0.71218514,0.43551046,0.047880024,0.4332802,0.4377407,0.0022302675,-2.5534697e-05,0.045724437,-0.002175113,0.0021240436,0.0021495784,1.7003028940589642,0.0660281565742397,5.786794068451468,-51.74633041019204,-28.651233502243283,1,3,8,1,7,0,7,nova araçá,5
273,Nova Bassano,5.1618304,11.337866,3.8577788,6.7340612,0.9580204,9.35722e-09,11.143502,-1.7583269,1.9410452,1.1893636,0.43547836,0.048250757,0.43547836,0.43547836,0.0,0.00020184758,0.04603724,0.00020184758,0.00020184758,0.0,1.6855093324391324,0.0751721541149725,5.760304037046885,-51.75413284031899,-28.725999636544845,1,3,4,5,5,0,7,nova bassano,5
274,Nova Boa Vista,5.160367,11.41772,4.430446,5.922613,0.6125993,2.5404217e-08,11.218365,-0.95547277,0.97388065,0.77848357,,,,,,,,,,,1.779574966195686,0.0838236343813813,5.672285265833237,-52.97951833591612,-27.99681900831768,1,3,4,0,1,0,3,nova boa vista,3
275,Nova Bréscia,4.9820156,11.003523,4.2678285,5.746157,0.5994983,2.455741e-09,10.820629,-0.9444849,0.9781618,0.76897293,0.44208345,0.041047078,0.44208345,0.44208345,0.0,0.00026880277,0.039653648,0.00026880277,0.00026880277,0.0,1.6117758629238652,0.0795731986556335,5.380889177198212,-52.03526445347998,-29.22207137796107,9,1,8,1,7,0,4,nova bréscia,5
276,Nova Candelária,5.18323,11.859858,4.508031,5.914451,0.5421322,1.4141681e-08,11.644165,-0.8910917,0.92682743,0.6870306,0.4188944,0.05866574,0.4188944,0.4188944,0.0,-0.0014899053,0.055066872,-0.0014899053,-0.0014899053,0.0,2.3845504406717852,0.0835863137922983,6.099060800840979,-54.12545485803236,-27.595262368341736,6,7,1,0,1,0,3,nova candelária,8
277,Nova Esperança do Sul,5.276006,12.582077,4.1599717,6.496621,0.81209123,2.3625923e-08,12.364079,-1.4865619,1.5949405,1.0445988,0.41804194,0.06209041,0.41470882,0.42137507,0.00333313,-0.0020337226,0.055982023,-0.0050903764,0.0010229308,0.0030566533,2.669031021494441,0.182248946055532,5.012400567126743,-54.821540600502736,-29.40333906165355,6,7,9,0,3,-1,2,nova esperança do sul,4
278,Nova Hartz,4.6474853,10.3918085,4.004809,5.3436275,0.5869267,1.8841462e-09,10.211771,-0.8814172,0.90596986,0.7769165,,,,,,,,,,,2.1844335465803892,0.0608480043956852,6.46092091639727,-50.89920850585458,-29.585481061407616,9,1,8,1,7,2,4,nova hartz,1
279,Nova Pádua,5.1272426,11.29629,4.524239,5.7722363,0.5490009,1.4861467e-08,11.100519,-0.804327,0.8367654,0.71540636,0.4455151,0.039012335,0.4455151,0.4455151,0.0,0.0007820571,0.03769208,0.0007820571,0.0007820571,0.0,1.8641979481455595,0.09331974722857,6.128346730454108,-51.31589251855276,-29.00099081461266,9,1,8,1,7,0,4,nova pádua,5
280,Nova Palma,5.073147,11.459345,3.8705075,6.505285,0.86560273,-6.308714e-09,11.259869,-1.6173457,1.7872356,1.0859015,0.42709127,0.054881357,0.4190969,0.4347672,0.006601727,-0.0008029042,0.051387206,-0.007394864,0.0058338568,0.0056009814,1.8522078292004327,0.1330548750892611,4.219215588692121,-53.41623938577948,-29.43332263581473,0,0,3,3,3,3,2,nova palma,0
